wage,Educ,Urban,Exp,Exp^2,NE,NC,W,S,Ability,Father_E,Mother_E,Married,I(E>=12),I(E>=16),E(E>=12),E(E>=16),E*A,A(E>=12),A(E>=16),E*F_E,E*M_E,E*NC,E*N,E*S,E*Urban,E*Unemp,Unemploy
2.38876279,14.0,1.0,7.0,49.0,1.0,0.0,0.0,0.0,2.03717041,12.0,10.0,1.0,1.0,0.0,14.0,0.0,28.52038578,2.03717041,0.0,168.0,140.0,0.0,14.0,0.0,14.0,93.8,6.7
3.46729718,16.0,1.0,9.0,81.0,1.0,0.0,0.0,0.0,2.11971678,12.0,12.0,0.0,1.0,1.0,16.0,16.0,33.91546853,2.11971678,2.11971678,192.0,192.0,0.0,16.0,0.0,16.0,107.2,6.7
2.30258509,13.0,1.0,14.0,196.0,1.0,0.0,0.0,0.0,2.636546,12.0,15.0,0.0,1.0,0.0,13.0,0.0,34.27509803,2.636546,0.0,156.0,195.0,0.0,13.0,0.0,13.0,87.1,6.7
2.55100645,12.0,1.0,11.0,121.0,1.0,0.0,0.0,0.0,2.0240087,12.0,12.0,1.0,1.0,0.0,12.0,0.0,24.28810437,2.0240087,0.0,144.0,144.0,0.0,12.0,0.0,12.0,80.4,6.7
2.74727091,13.0,1.0,13.0,169.0,1.0,0.0,0.0,0.0,-1.76480792,13.0,12.0,1.0,1.0,0.0,13.0,0.0,-22.94250293,-1.76480792,0.0,169.0,156.0,0.0,13.0,0.0,13.0,67.6,5.2
2.41858877,12.0,0.0,13.0,169.0,0.0,0.0,0.0,1.0,-0.13359827,12.0,12.0,0.0,1.0,0.0,12.0,0.0,-1.60317922,-0.13359827,0.0,144.0,144.0,0.0,0.0,12.0,0.0,54.0,4.5
2.56494936,12.0,1.0,9.0,81.0,1.0,0.0,0.0,0.0,-0.33845972,14.0,12.0,0.0,1.0,0.0,12.0,0.0,-4.06151669,-0.33845972,0.0,168.0,144.0,0.0,12.0,0.0,12.0,62.4,5.2
2.73306796,12.0,1.0,13.0,169.0,1.0,0.0,0.0,0.0,1.38070975,9.0,10.0,1.0,1.0,0.0,12.0,0.0,16.56851694,1.38070975,0.0,108.0,120.0,0.0,12.0,0.0,12.0,62.4,5.2
2.7080502,12.0,0.0,13.0,169.0,1.0,0.0,0.0,0.0,3.41279858,12.0,16.0,0.0,1.0,0.0,12.0,0.0,40.953583,3.41279858,0.0,144.0,192.0,0.0,12.0,0.0,0.0,62.4,5.2
3.36176331,12.0,1.0,11.0,121.0,1.0,0.0,0.0,0.0,4.25065711,12.0,16.0,0.0,1.0,0.0,12.0,0.0,51.00788534,4.25065711,0.0,144.0,192.0,0.0,12.0,0.0,12.0,62.4,5.2
3.33220451,14.0,1.0,6.0,36.0,1.0,0.0,0.0,0.0,-0.88399952,12.0,17.0,1.0,1.0,0.0,14.0,0.0,-12.37599325,-0.88399952,0.0,168.0,238.0,0.0,14.0,0.0,14.0,72.8,5.2
3.07083975,19.0,1.0,2.0,4.0,0.0,0.0,1.0,0.0,4.36549575,17.0,16.0,1.0,1.0,1.0,19.0,19.0,82.94441927,4.36549575,4.36549575,323.0,304.0,0.0,0.0,0.0,19.0,66.5,3.5
2.3860067,14.0,1.0,6.0,36.0,1.0,0.0,0.0,0.0,1.09044638,16.0,16.0,0.0,1.0,0.0,14.0,0.0,15.26624932,1.09044638,0.0,224.0,224.0,0.0,14.0,0.0,14.0,72.8,5.2
2.50225529,16.0,1.0,6.0,36.0,1.0,0.0,0.0,0.0,2.4176928,11.0,9.0,1.0,1.0,1.0,16.0,16.0,38.68308473,2.4176928,2.4176928,176.0,144.0,0.0,16.0,0.0,16.0,83.2,5.2
